case,method,min_interval,max_interval,nominal_min_rate,nominal_max_rate,n_total,n_sampled,sample_ratio,max_gap,mean_gap,p95_gap,nrmse_mean,correlation,peak_recall_top1,peak_recall_top2,peak_recall_top5,peak_recall_top10,peak_recall_top20
redis_tx_bytes,omniflow,2,20,0.05,0.5,1604068,458528,0.28585321819274495,20,3.4982978101616697,8.0,0.013913153092114132,0.49583454520968606,0.27618453865336656,0.2906081481250584,0.35640811440968545,0.38059050160218444,0.37616929488518236
redis_tx_bytes,huang_wavelet_rate_inspired,2,20,0.05,0.5,1604068,791971,0.49372657518259827,5,2.0254138414333878,2.0,0.01168980759477415,0.6872226103042001,0.5010598503740649,0.5003584676288145,0.5008665511265165,0.4998628480231413,0.4995339964402939
redis_tx_bytes,magalhaes_truncated_exponential_inspired,2,20,0.05,0.5,1604068,140571,0.0876340653887491,20,11.41111901543715,20.0,0.015741411756403798,0.2945432466433064,0.06826683291770573,0.07119478819238802,0.09616847250102864,0.10543246511975861,0.1074582389117648
redis_tx_bytes,fixed_slow_boundary,2,20,0.05,0.5,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,2,20,0.05,0.5,1604068,802034,0.5,2,2.0,2.0,0.011649583988379272,0.6888046392684053,0.5016209476309227,0.5010442317882859,0.5003802850267446,0.4995885440694238,0.4995869868116317
redis_tx_bytes,omniflow,1,20,0.05,1.0,1604068,615923,0.3839756169937933,20,2.6043086624605065,7.0,0.012868788953211538,0.5811345194810548,0.36783042394014964,0.4009538356036283,0.5561762028851789,0.5925962869219356,0.5574181844251948
redis_tx_bytes,huang_wavelet_rate_inspired,1,20,0.05,1.0,1604068,1415648,0.8825361518339622,5,1.1330981522936157,2.0,0.00463479509815134,0.9548787174347123,0.8529925187032419,0.8763442536080546,0.9130705833946361,0.912640424921761,0.9267361360044637
redis_tx_bytes,magalhaes_truncated_exponential_inspired,1,20,0.05,1.0,1604068,154827,0.09652146916464888,20,10.360430418663531,20.0,0.015773207802588198,0.29851494009397556,0.07113466334164588,0.07318973847448645,0.10657955438075882,0.11781978230240764,0.1190381935894119
redis_tx_bytes,fixed_slow_boundary,1,20,0.05,1.0,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,1,20,0.05,1.0,1604068,1604068,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
websearch_involuntary_ctx_switches,omniflow,20,20,0.05,0.05,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
websearch_involuntary_ctx_switches,huang_wavelet_rate_inspired,20,20,0.05,0.05,1007614,62976,0.06250012405544186,21,16.000206431123463,21.0,0.07507994706994009,0.4816008400247892,0.05954743946010321,0.059398570861452955,0.06184994045256054,0.06239517273548297,0.06216194757892438
websearch_involuntary_ctx_switches,magalhaes_truncated_exponential_inspired,20,20,0.05,0.05,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
websearch_involuntary_ctx_switches,fixed_slow_boundary,20,20,0.05,0.05,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
websearch_involuntary_ctx_switches,omniflow,19,20,0.05,0.05263157894736842,1007614,52630,0.05223230324310699,20,19.145281118774818,20.0,0.07687574877401848,0.44183354374913286,0.05418816990869393,0.05339420404922588,0.05315601429138547,0.052530244836792014,0.05251535812467125
websearch_involuntary_ctx_switches,huang_wavelet_rate_inspired,19,20,0.05,0.05263157894736842,1007614,62976,0.06250012405544186,21,16.000206431123463,21.0,0.07507994706994009,0.4816008400247892,0.05954743946010321,0.059398570861452955,0.06184994045256054,0.06239517273548297,0.06216194757892438
websearch_involuntary_ctx_switches,magalhaes_truncated_exponential_inspired,19,20,0.05,0.05263157894736842,1007614,51366,0.05097785461496168,20,19.61662610727149,20.0,0.0772117942855907,0.4394944947418378,0.053096466851925365,0.05145891226677253,0.05134974196109567,0.05121028969541787,0.051379005766119826
websearch_involuntary_ctx_switches,fixed_slow_boundary,19,20,0.05,0.05263157894736842,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
websearch_involuntary_ctx_switches,fixed_fast_boundary,19,20,0.05,0.05263157894736842,1007614,53033,0.05263225798768179,19,19.0,19.0,0.07673534187962613,0.44397339937194963,0.05269948392219134,0.05334458118300913,0.05256053989678444,0.05256994273578071,0.052416113377199515
websearch_involuntary_ctx_switches,omniflow,18,20,0.05,0.05555555555555555,1007614,55048,0.05463203171055583,20,18.304594255817754,20.0,0.07605882931175029,0.4576724723650247,0.05448590710599444,0.05582572449384676,0.055597459309249704,0.0559343396750727,0.05548277607407628
websearch_involuntary_ctx_switches,huang_wavelet_rate_inspired,18,20,0.05,0.05555555555555555,1007614,62976,0.06250012405544186,21,16.000206431123463,21.0,0.07507994706994009,0.4816008400247892,0.05954743946010321,0.059398570861452955,0.06184994045256054,0.06239517273548297,0.06216194757892438
websearch_involuntary_ctx_switches,magalhaes_truncated_exponential_inspired,18,20,0.05,0.05555555555555555,1007614,52391,0.05199510923825989,20,19.232639816758923,20.0,0.07695044118360843,0.44035128359159353,0.053691941246526396,0.05215363239380707,0.05313616514489877,0.052907374877184624,0.05277835670547136
websearch_involuntary_ctx_switches,fixed_slow_boundary,18,20,0.05,0.05555555555555555,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
websearch_involuntary_ctx_switches,fixed_fast_boundary,18,20,0.05,0.05555555555555555,1007614,55979,0.05555599664157108,18,18.0,18.0,0.07605435514281358,0.4508440886792301,0.056768558951965066,0.05582572449384676,0.05539896784438269,0.05528924881650639,0.05546788936195552
websearch_involuntary_ctx_switches,omniflow,17,20,0.05,0.058823529411764705,1007614,57679,0.057243150650943715,20,17.469624466867785,20.0,0.0753368173596541,0.4602175890273682,0.058257244938467644,0.059348947995236205,0.058852719333068675,0.05838568493762468,0.058867021962862615
websearch_involuntary_ctx_switches,huang_wavelet_rate_inspired,17,20,0.05,0.058823529411764705,1007614,62976,0.06250012405544186,21,16.000206431123463,21.0,0.07507994706994009,0.4816008400247892,0.05954743946010321,0.059398570861452955,0.06184994045256054,0.06239517273548297,0.06216194757892438
websearch_involuntary_ctx_switches,magalhaes_truncated_exponential_inspired,17,20,0.05,0.058823529411764705,1007614,53453,0.053049084272350326,20,18.85078201002769,20.0,0.07549999613405027,0.45300287797026106,0.04843191742755062,0.051756649464073046,0.054922588328701866,0.05430672581653616,0.05386012445291333
websearch_involuntary_ctx_switches,fixed_slow_boundary,17,20,0.05,0.058823529411764705,1007614,50381,0.05000029773306048,20,20.0,20.0,0.07887230700990926,0.41797231940745533,0.05150853513298928,0.049920603414053195,0.050595474394601034,0.04965214716011155,0.049875447841922965
